Id,quality
2056,5
2057,5
2058,5
2059,6
2060,5
2061,5
2062,6
2063,6
2064,6
2065,5
2066,5
2067,5
2068,6
2069,5
2070,6
2071,5
2072,6
2073,5
2074,5
2075,6
2076,6
2077,6
2078,5
2079,6
2080,5
2081,6
2082,6
2083,6
2084,6
2085,5
2086,5
2087,6
2088,5
2089,5
2090,6
2091,5
2092,6
2093,6
2094,5
2095,5
2096,5
2097,5
2098,6
2099,6
2100,6
2101,5
2102,6
2103,5
2104,6
2105,6
2106,5
2107,6
2108,5
2109,6
2110,5
2111,5
2112,6
2113,5
2114,6
2115,5
2116,6
2117,5
2118,5
2119,5
2120,6
2121,6
2122,6
2123,5
2124,6
2125,5
2126,6
2127,5
2128,5
2129,5
2130,6
2131,5
2132,6
2133,6
2134,5
2135,5
2136,5
2137,5
2138,5
2139,5
2140,6
2141,6
2142,5
2143,5
2144,6
2145,6
2146,6
2147,5
2148,5
2149,5
2150,5
2151,5
2152,6
2153,6
2154,6
2155,6
2156,6
2157,6
2158,5
2159,6
2160,5
2161,5
2162,6
2163,6
2164,6
2165,5
2166,6
2167,5
2168,6
2169,5
2170,6
2171,5
2172,6
2173,5
2174,6
2175,5
2176,6
2177,5
2178,6
2179,6
2180,6
2181,5
2182,5
2183,6
2184,5
2185,6
2186,6
2187,5
2188,5
2189,5
2190,6
2191,6
2192,6
2193,6
2194,5
2195,6
2196,5
2197,6
2198,6
2199,6
2200,5
2201,6
2202,5
2203,6
2204,5
2205,5
2206,5
2207,6
2208,5
2209,5
2210,5
2211,5
2212,5
2213,6
2214,5
2215,6
2216,5
2217,5
2218,6
2219,6
2220,5
2221,5
2222,5
2223,6
2224,5
2225,5
2226,5
2227,5
2228,6
2229,6
2230,5
2231,5
2232,6
2233,5
2234,6
2235,6
2236,6
2237,6
2238,5
2239,5
2240,5
2241,6
2242,5
2243,6
2244,5
2245,6
2246,5
2247,6
2248,6
2249,6
2250,5
2251,6
2252,5
2253,6
2254,5
2255,5
2256,5
2257,6
2258,6
2259,6
2260,5
2261,5
2262,6
2263,6
2264,5
2265,6
2266,5
2267,6
2268,6
2269,6
2270,6
2271,5
2272,6
2273,6
2274,5
2275,5
2276,5
2277,5
2278,6
2279,5
2280,5
2281,6
2282,5
2283,5
2284,6
2285,5
2286,5
2287,6
2288,5
2289,6
2290,6
2291,5
2292,6
2293,5
2294,5
2295,6
2296,6
2297,6
2298,5
2299,6
2300,5
2301,5
2302,5
2303,5
2304,6
2305,6
2306,5
2307,5
2308,5
2309,5
2310,5
2311,5
2312,6
2313,5
2314,6
2315,6
2316,5
2317,6
2318,6
2319,6
2320,5
2321,6
2322,6
2323,6
2324,5
2325,5
2326,5
2327,5
2328,5
2329,5
2330,6
2331,6
2332,5
2333,6
2334,6
2335,5
2336,5
2337,6
2338,6
2339,5
2340,5
2341,5
2342,5
2343,5
2344,6
