id,target
0,0
2,0
3,0
9,1
11,1
12,0
21,1
22,0
27,0
29,1
30,0
35,0
42,0
43,1
45,0
46,1
47,0
51,0
58,1
60,0
69,1
70,1
72,0
75,0
84,1
87,1
88,0
90,1
94,0
99,0
101,0
103,1
106,0
108,0
111,0
115,0
116,1
122,0
123,0
124,0
125,0
127,0
140,1
142,1
147,0
148,1
150,0
152,1
154,1
155,0
166,0
167,1
169,0
177,0
179,1
181,1
186,0
188,0
189,0
192,1
200,0
202,0
206,0
207,0
214,0
217,0
223,1
224,0
227,0
228,0
230,0
233,0
234,0
236,0
239,0
250,1
255,0
257,0
259,0
275,1
278,0
282,0
284,0
286,1
288,0
292,1
295,0
300,0
304,1
305,0
306,1
308,1
311,1
317,0
319,1
323,0
324,1
325,1
326,0
333,0
339,0
342,0
343,1
350,0
351,1
357,0
359,0
362,1
366,0
367,1
369,0
373,0
374,0
376,1
377,0
378,0
379,0
382,0
385,0
387,0
388,0
391,1
392,1
395,0
399,0
400,1
403,1
405,0
408,1
411,1
414,0
416,1
417,1
422,1
425,0
428,0
430,0
431,1
433,0
434,1
439,0
441,0
449,0
458,0
460,0
464,0
473,0
488,1
491,1
494,1
497,0
500,1
505,0
507,0
508,1
510,1
511,1
515,0
525,0
529,0
532,0
534,0
537,1
539,1
541,1
545,1
547,0
548,1
549,1
553,0
554,0
555,0
557,1
562,0
566,1
572,0
573,0
582,1
586,0
587,1
590,0
591,1
593,0
595,1
596,0
597,0
601,0
602,0
605,0
610,0
616,1
618,1
620,0
626,1
627,0
629,0
632,1
634,0
639,0
645,1
647,0
648,1
650,0
663,1
666,1
668,1
670,0
673,0
676,0
678,1
692,0
693,1
694,1
695,0
696,0
698,1
701,0
703,0
707,1
708,0
711,0
715,1
718,0
722,0
723,0
733,1
741,0
742,0
743,0
747,0
749,0
750,0
756,0
757,0
760,0
764,1
765,0
766,0
768,0
769,1
771,1
772,1
776,0
778,1
780,0
785,1
789,0
792,0
793,0
811,0
813,0
816,1
821,1
824,0
825,0
827,0
830,0
831,0
839,1
844,1
847,0
850,0
854,0
855,0
858,0
861,1
862,0
865,0
869,1
879,0
880,1
887,0
889,0
897,0
900,0
901,0
904,0
908,0
909,0
910,1
913,0
914,1
917,0
918,0
920,0
922,0
924,1
925,0
927,0
933,0
937,0
943,1
949,0
950,1
954,0
966,1
967,1
969,0
970,0
973,1
975,0
980,1
988,0
989,1
995,0
1000,0
1003,0
1007,0
1011,0
1012,0
1013,1
1014,0
1016,0
1019,0
1025,0
1027,0
1028,1
1030,0
1033,1
1034,1
1039,1
1046,0
1047,0
1053,0
1055,1
1056,0
1059,1
1060,0
1063,0
1064,1
1068,1
1076,1
1086,1
1087,0
1089,0
1092,0
1095,0
1096,1
1097,1
1100,0
1101,0
1107,0
1108,1
1111,0
1115,1
1116,0
1121,0
1125,0
1127,1
1131,0
1133,0
1135,0
1137,0
1140,1
1144,0
1147,1
1148,1
1150,1
1158,0
1159,0
1161,1
1163,0
1165,0
1169,0
1171,1
1172,1
1176,0
1180,0
1184,1
1186,0
1187,0
1192,0
1193,0
1194,1
1197,0
1200,1
1205,0
1210,0
1216,0
1220,0
1231,0
1233,0
1246,0
1247,0
1248,0
1255,1
1256,0
1257,1
1258,1
1260,0
1261,0
1265,1
1266,0
1268,0
1274,0
1281,0
1285,0
1286,0
1291,0
1292,1
1295,1
1299,0
1306,0
1310,1
1311,1
1313,1
1314,1
1322,1
1323,1
1325,0
1329,0
1330,1
1333,0
1336,1
1339,0
1342,0
1344,0
1355,0
1357,0
1358,0
1359,0
1364,0
1366,1
1367,0
1370,1
1373,0
