id,target
0,1
2,0
3,1
9,1
11,1
12,1
21,0
22,0
27,0
29,0
30,0
35,0
42,1
43,1
45,1
46,1
47,0
51,0
58,1
60,1
69,0
70,0
72,1
75,0
84,0
87,0
88,0
90,0
94,0
99,1
101,0
103,0
106,1
108,0
111,0
115,0
116,1
122,1
123,0
124,1
125,1
127,0
140,1
142,0
147,1
148,0
150,0
152,0
154,0
155,0
166,0
167,0
169,1
177,1
179,1
181,1
186,0
188,1
189,0
192,1
200,1
202,0
206,0
207,0
214,0
217,0
223,0
224,0
227,1
228,1
230,1
233,1
234,0
236,1
239,0
250,1
255,1
257,1
259,0
275,0
278,0
282,0
284,1
286,0
288,0
292,0
295,0
300,0
304,0
305,1
306,1
308,0
311,0
317,0
319,1
323,0
324,1
325,1
326,1
333,0
339,0
342,1
343,1
350,0
351,0
357,1
359,0
362,1
366,0
367,1
369,0
373,0
374,1
376,0
377,1
378,1
379,1
382,0
385,0
387,1
388,1
391,0
392,0
395,0
399,0
400,0
403,1
405,0
408,0
411,0
414,1
416,0
417,1
422,1
425,0
428,0
430,0
431,0
433,1
434,1
439,1
441,0
449,1
458,1
460,0
464,0
473,0
488,0
491,0
494,1
497,0
500,1
505,0
507,1
508,0
510,1
511,0
515,0
525,1
529,0
532,1
534,1
537,0
539,0
541,1
545,1
547,0
548,1
549,0
553,0
554,1
555,0
557,0
562,0
566,0
572,0
573,1
582,1
586,0
587,0
590,0
591,1
593,0
595,0
596,1
597,1
601,0
602,1
605,1
610,0
616,1
618,1
620,0
626,0
627,1
629,1
632,1
634,0
639,1
645,0
647,0
648,0
650,1
663,1
666,1
668,0
670,1
673,1
676,0
678,0
692,1
693,1
694,1
695,0
696,0
698,0
701,0
703,0
707,0
708,0
711,1
715,1
718,0
722,1
723,0
733,0
741,0
742,1
743,1
747,0
749,1
750,1
756,0
757,1
760,0
764,0
765,0
766,1
768,1
769,0
771,1
772,0
776,0
778,0
780,0
785,0
789,0
792,0
793,1
811,1
813,1
816,0
821,0
824,0
825,0
827,0
830,0
831,1
839,0
844,0
847,1
850,1
854,1
855,1
858,1
861,0
862,1
865,0
869,0
879,1
880,0
887,1
889,1
897,1
900,0
901,1
904,1
908,0
909,1
910,0
913,1
914,1
917,0
918,1
920,0
922,1
924,0
925,1
927,0
933,0
937,0
943,0
949,1
950,0
954,1
966,1
967,0
969,1
970,0
973,0
975,0
980,0
988,1
989,1
995,0
1000,0
1003,0
1007,1
1011,1
1012,1
1013,0
1014,1
1016,0
1019,0
1025,1
1027,0
1028,0
1030,0
1033,0
1034,1
1039,1
1046,1
1047,0
1053,0
1055,0
1056,1
1059,1
1060,1
1063,0
1064,1
1068,0
1076,1
1086,0
1087,1
1089,0
1092,0
1095,0
1096,1
1097,0
1100,0
1101,0
1107,0
1108,0
1111,0
1115,0
1116,1
1121,0
1125,0
1127,1
1131,0
1133,1
1135,0
1137,0
1140,0
1144,0
1147,0
1148,0
1150,0
1158,1
1159,0
1161,0
1163,1
1165,0
1169,0
1171,0
1172,1
1176,1
1180,1
1184,1
1186,1
1187,0
1192,1
1193,1
1194,0
1197,0
1200,1
1205,0
1210,0
1216,1
1220,1
1231,0
1233,0
1246,0
1247,1
1248,1
1255,0
1256,1
1257,0
1258,0
1260,1
1261,0
1265,0
1266,0
1268,0
1274,1
1281,0
1285,0
1286,0
1291,1
1292,0
1295,0
1299,0
1306,0
1310,0
1311,1
1313,1
1314,0
1322,0
1323,1
1325,0
1329,0
1330,1
1333,1
1336,1
1339,1
1342,0
1344,1
1355,1
1357,0
1358,1
1359,1
1364,1
1366,0
1367,1
1370,0
1373,0
1377,1
1386,0
1387,1
1392,0
1397,0
1398,0
1400,1
1403,0
1404,1
1410,1
1413,0
1416,1
1417,0
1423,1
1424,1
1426,0
1427,0
1428,0
1430,0
1434,1
1435,0
1437,0
1438,0
1442,1
1446,0
1451,0
1457,0
1461,1
1462,1
1465,0
1468,1
1469,0
1471,0
1476,1
1478,1
1481,1
1489,1
1490,1
1492,0
1496,1
1512,1
1516,0
1517,0
1528,1
1529,0
1536,0
1539,1
1541,0
1542,0
1548,1
1550,1
1551,0
1552,1
1557,0
1563,0
1564,0
1565,1
1566,0
1571,0
1578,0
1581,0
1583,0
1584,1
1586,0
1589,1
1592,0
1598,0
1606,1
1612,1
1616,0
1620,0
1624,0
1629,1
1630,1
1635,0
1640,1
1641,1
1642,0
1651,0
1655,0
1656,1
1659,0
1664,1
1667,0
1668,1
1674,0
1678,0
1680,0
1681,0
1682,1
1685,0
1695,0
1696,0
1697,1
1704,0
1708,0
1711,0
1713,1
1714,0
1717,0
1729,0
1730,0
1732,1
1734,0
1736,1
1738,1
1742,0
1743,1
1746,0
1748,1
1749,1
1751,0
1758,1
1764,0
1765,0
1777,0
1778,0
1781,0
1782,0
1783,0
1785,1
1788,1
1793,1
1794,0
1795,0
1797,0
1800,0
1801,1
1805,1
1806,1
1819,0
1820,0
1825,0
1828,0
1829,1
1830,0
1839,0
1843,1
1844,0
1846,1
1849,1
1850,1
1854,0
1855,0
1858,1
1859,1
1862,0
1867,0
1868,1
1871,0
1872,0
1874,1
1876,0
1879,1
1884,1
1891,0
1894,1
1896,0
1902,0
1903,0
1904,1
1906,0
1907,1
1912,0
1913,1
1923,0
1926,1
1928,0
1930,0
1931,1
1934,1
1936,0
1944,0
1946,1
1947,1
1958,0
1964,0
1970,0
1974,0
1977,1
1978,0
1982,0
1984,0
1988,1
1993,0
1997,0
1998,1
2002,1
2004,1
2005,1
2008,0
2011,1
2013,1
2018,1
2021,0
2025,0
2029,1
2030,0
2032,0
2037,1
2041,1
2044,1
2048,1
2052,1
2053,1
2054,1
2062,0
2065,1
2066,1
2072,1
2079,0
2080,1
2085,0
2088,1
2090,0
2092,1
2093,0
2101,0
2104,0
2105,0
2106,0
2107,0
2120,1
2124,1
2127,1
2130,0
2132,1
2135,0
2137,0
2140,0
2143,1
2147,1
2151,0
2152,1
2155,0
2156,1
2162,0
2165,1
2166,0
2167,1
2168,0
2170,0
2178,0
2180,0
2182,0
2184,1
2185,1
2187,1
2196,1
2197,0
2199,1
2200,0
2201,0
2202,1
2206,0
2208,0
2218,1
2223,1
2224,0
2226,0
2228,1
2232,0
2234,1
2243,1
2247,1
2249,0
2252,0
2253,1
2259,1
2261,1
2264,0
2268,0
2269,0
2270,0
2276,0
2283,0
2287,0
2290,0
2291,0
